ITEM_ID,ITEM_TYPE,HUB_L1,HUB_L2,HUB_IDS,AUTHOR_IDS,CREATION_TIMESTAMP,TEXT,TITLE,UPVOTE_SCORE,BLUESKY_COUNT_TOTAL,TWEET_COUNT_TOTAL,CITATION_COUNT_TOTAL,HAS_ACTIVE_BOUNTY,BOUNTY_HAS_SOLUTIONS,RFP_IS_OPEN,RFP_HAS_APPLICANTS,PROPOSAL_IS_OPEN,PROPOSAL_HAS_FUNDERS
26,DISCUSSION,,,,,1702572558,This Is A Test Post LLM post sdfjdlksjflks post sdfjdlksjflkspost sdfjdlksjflks post sdfjdlksjflkspost sdfjdlksjflkspost sdfjdlksjflks,This Is A Test Post LLM,0,,,,False,True,False,False,False,False
28,QUESTION,,,,,1702586625,TESTESTETESTSTESTESTSETSE asdfasfdsafdasfsddfa,TESTESTETESTSTESTESTSETSE,0,,,,False,False,False,False,False,False
31,PAPER,6807,7705,7073|13001|12844|13235|8221|8397|7808|9142|7730|7072|13236|12006|6862|11077|6807|7015|7735|7705,35136|35137|35138|35139,1638921600,"Peer Review in Law Journals The field of law has retained its distinctiveness regarding peer review to this day, and reviews are often conducted without following standardized rules and principles. External and independent evaluation of submissions has recently become adopted by European law journals, and peer review procedures are still poorly defined, investigated, and attuned to the legal science publishing landscape. The aim of our study was to gain a better insight into current editorial policies on peer review in law journals by exploring editorial documents (instructions, guidelines, policies) issued by 119 Croatian, Italian, and Spanish law journals. We relied on automatic content analysis of 135 publicly available documents collected from the journal websites to analyze the basic features of the peer review processes, manuscript evaluation criteria, and related ethical issues using WordStat8. Differences in covered topics between the countries were compared using the chi-square test. Our findings reveal that most law journals have adopted a traditional approach, in which the editorial board manages mostly anonymized peer review (104, 77%) engaging independent/external reviewers (65, 48%). Submissions are evaluated according to their originality and relevance (113, 84%), quality of writing and presentation (94, 70%), comprehensiveness of literature references (93, 69%), and adequacy of methods (57, 42%). The main ethical issues related to peer review addressed by these journals are reviewer’s competing interests (42, 31%), plagiarism (35, 26%), and biases (30, 22%). We observed statistically significant differences between countries in mentioning key concepts such as “Peer review ethics”, “Reviewer”, “Transparency of identities”, “Publication type”, and “Research misconduct”. Spanish journals favor reviewers’ “Independence” and “Competence” and “Anonymized” peer review process. Also, some manuscript types popular in one country are rarely mentioned in other countries. Even though peer review is equally conventional in all three countries, high transparency in Croatian law journals, respect for research integrity in Spanish ones, and diversity and inclusion in Italian are promising indicators of future development. medicine,psychology,social psychology,political science,law,radiology,originality,creativity,transparency (behavior),peer review,publishing,relevance (law),public relations,presentation (obstetrics),safety research,political science and international relations,optimal distinctiveness theory,misconduct",Peer Review in Law Journals,2,,,2,False,False,False,False,False,False
32,PAPER,6781,6797,6840|12821|6834|13237|7340|13238|7346|13239|6897|13240|7285|13241|6797|6781,35140|35141|35142|35143|35144|35145|35146|35147,1672531200,"LLM in a flash: Efficient Large Language Model Inference with Limited Memory Large language models (LLMs) are central to modern natural language processing, delivering exceptional performance in various tasks. However, their substantial computational and memory requirements present challenges, especially for devices with limited DRAM capacity. This paper tackles the challenge of efficiently running LLMs that exceed the available DRAM capacity by storing the model parameters in flash memory, but bringing them on demand to DRAM. Our method involves constructing an inference cost model that takes into account the characteristics of flash memory, guiding us to optimize in two critical areas: reducing the volume of data transferred from flash and reading data in larger, more contiguous chunks. Within this hardware-informed framework, we introduce two principal techniques. First, ""windowing"" strategically reduces data transfer by reusing previously activated neurons, and second, ""row-column bundling"", tailored to the sequential data access strengths of flash memory, increases the size of data chunks read from flash memory. These methods collectively enable running models up to twice the size of the available DRAM, with a 4-5x and 20-25x increase in inference speed compared to naive loading approaches in CPU and GPU, respectively. Our integration of sparsity awareness, context-adaptive loading, and a hardware-oriented design paves the way for effective inference of LLMs on devices with limited memory. biology,paleontology,computer science,artificial intelligence,parallel computing,computer hardware,inference,context (archaeology),computer vision and pattern recognition,dram,universal memory,memory management,semiconductor memory,interleaved memory",LLM in a flash: Efficient Large Language Model Inference with Limited Memory,0,,,2,False,False,False,False,False,False
33,PAPER,6809,6788,12828|12820|12847|6785|13248|6879|13249|6817|6823|6809|6788|6824,35199|35200|35201|35202|36152|36153|36154|36155,1672531200,"Red shift effect on the zero field splitting for negatively charged nitrogen-vacancy centers in diamond The zero field splitting (ZFS) quantifies the energy difference for the ground electron spin-triplet of a nitrogen-vacancy center in the absence of external fields. The values of the ZFS play a key role in determining the Larmor precession of the Bloch sphere and the Rabi oscillation of a spin system. The ZFS is generally detected using coherent spin manipulation by sweeping microwaves (MWs) at frequencies close to resonance with the ZFS. In this letter, we report our experimental observations of the red-shift effect on the ZFS as a function of the MW power for two different thermal environments of a sample. We find an asymptotic property of the red shifts of the ZFS. Given the identical initial thermal equilibrium states of the sample, the differences in the raw values of the ZFS between the two cases randomly vary from 47 kHz to 1505 kHz over the entire experimental range. According to the asymptotic approximation, the differences are reduced to 29-166 kHz with a standard deviation of 49 kHz, suggesting a significant elimination of the red-shift effect. To the best of our knowledge, no other study has addressed the quantification and elimination of the red shift-effect of the MW field dependence using the asymptotic approximation. chemistry,organic chemistry,physics,spin (aerodynamics),condensed matter physics,thermodynamics,atomic physics,atomic and molecular physics, and optics,materials chemistry,electrical and electronic engineering,diamond,vacancy defect",Red shift effect on the zero field splitting for negatively charged nitrogen-vacancy centers in diamond,-1,,,0,False,False,False,False,False,False
34,PAPER,6782,6987,12839|12871|12831|7225|7452|9383|13244|13245|8399|6834|6940|13246|6807|7009|7072|7150|6987|6783|6782|8397|7073|7183,13066|13067|1776|35191|35192|35193|35194|35195|35196,1518480000,"The state of OA: a large-scale analysis of the prevalence and impact of Open Access articles Despite growing interest in Open Access (OA) to scholarly literature, there is an unmet need for large-scale, up-to-date, and reproducible studies assessing the prevalence and characteristics of OA. We address this need using oaDOI, an open online service that determines OA status for 67 million articles. We use three samples, each of 100,000 articles, to investigate OA in three populations: (1) all journal articles assigned a Crossref DOI, (2) recent journal articles indexed in Web of Science, and (3) articles viewed by users of Unpaywall, an open-source browser extension that lets users find OA articles using oaDOI. We estimate that at least 28% of the scholarly literature is OA (19M in total) and that this proportion is growing, driven particularly by growth in Gold and Hybrid. The most recent year analyzed (2015) also has the highest percentage of OA (45%). Because of this growth, and the fact that readers disproportionately access newer articles, we find that Unpaywall users encounter OA quite frequently: 47% of articles they view are OA. Notably, the most common mechanism for OA is not Gold, Green, or Hybrid OA, but rather an under-discussed category we dub Bronze: articles made free-to-read on the publisher website, without an explicit Open license. We also examine the citation impact of OA articles, corroborating the so-called open-access citation advantage: accounting for age and discipline, OA articles receive 18% more citations than average, an effect driven primarily by Green and Hybrid OA. We encourage further research using the free oaDOI service, as a way to inform OA policy and practice. mathematics,statistics,medicine,computer science,world wide web,internal medicine,library science,political science,law,meta-analysis,operating system,citation,license,publishing,open science,scholarly communication,information systems,statistics, probability and uncertainty,information systems and management,web of science,bibliometrics,citation analysis",The state of OA: a large-scale analysis of the prevalence and impact of Open Access articles,1,,,785,False,False,False,False,False,False
35,PAPER,6834,,6834,35207|35208|35209,1688515200,P07_List  computer science,P07_List,0,,,0,False,False,False,False,False,False
36,PAPER,6809,6840,6840|12829|13252|6834|13253|10903|6891|6820|6809,27661|35210|479|35211,1672531200,"Improved Quantum Circuits for AES: Reducing the Depth and the Number of Qubits Quantum computers hold the potential to solve problems that are intractable for classical computers, thereby driving increased interest in the development of new cryptanalytic ciphers. In NIST's post-quantum standardization process, the security categories are defined by the costs of quantum key search against AES. However, the cost estimates provided by Grassl et al. for the search are high. NIST has acknowledged that these initial classifications should be approached cautiously, since the costs of the most advanced attacks can be significantly reduced. Therefore, accurate resource estimations are crucial for evaluating the security of ciphers against quantum adversaries. This paper presents a set of generic techniques for implementing AES quantum oracles, which are essential for quantum attacks such as Grover's algorithms. Firstly, we introduce the mixing-XOR technique to reuse the ancilla qubits. At ASIACRYPT 2022, Huang et al. proposed an S-box structure with 120 ancilla qubits. We are able to reduce the number of ancilla qubits to 83 without increasing the T-depth. Secondly, we propose the combined pipeline architecture with the share technique to combine the S-box and its reverse, which achieves it with only 98 ancilla qubits, resulting in a significant reduction of 59% compared to the independent structure. Thirdly, we use a general algorithm to determine the depth of quantum circuits, searching for the in-place circuit of AES MixColumns with depth 16. Applying these improvements, we achieve the lower quantum depth of AES circuits, obtaining more precise resource estimates for Grover's algorithm. For AES-128, -192, and -256, we only require the depth of 730, 876, and 1,018, respectively. Recently, the community has also focused on the trade-off of the time and space cost of quantum circuits for AES. In this regard, we present quantum implementations of AES circuits with a lower DW-cost on the zig-zag architecture. Compared with the circuit proposed by Huang et al., the DW-cost is reduced by 35%. physics,quantum mechanics,computer science,artificial intelligence,quantum,quantum computer,computational theory and mathematics,qubit,electronic circuit",Improved Quantum Circuits for AES: Reducing the Depth and the Number of Qubits,0,,,2,False,False,False,False,False,False
37,PAPER,6898,6849,6840|12848|7262|6834|7181|13250|6852|6849|13251|6898|6901|7058|7184|7185|7017,35203|35204|35205|35206,1672531200,"Looped Transformers are Better at Learning Learning Algorithms Transformers have demonstrated effectiveness in in-context solving data-fitting problems from various (latent) models, as reported by Garg et al. However, the absence of an inherent iterative structure in the transformer architecture presents a challenge in emulating the iterative algorithms, which are commonly employed in traditional machine learning methods. To address this, we propose the utilization of looped transformer architecture and its associated training methodology, with the aim of incorporating iterative characteristics into the transformer architectures. Experimental results suggest that the looped transformer achieves performance comparable to the standard transformer in solving various data-fitting problems, while utilizing less than 10% of the parameter count. computer science,artificial intelligence,machine learning,algorithm,engineering,electrical engineering,control (management),voltage,architecture,art,visual arts,transformer,signal processing,iterative learning control,iterative method",Looped Transformers are Better at Learning Learning Algorithms,0,,,0,False,False,False,False,False,False
38,PAPER,,,,,1708793103,This is a paper test,This is a paper test,0,,,0,False,False,False,False,False,False
39,PAPER,6781,6986,7545|7546|6976|7547|7548|7154|7549|7550|6785|7551|6835|7116|6781|6794|6972|7119|7552|6806|6793|7118|6836|9964|6986,559|561|562|563|564|565,1697846400,"Design and Characterization of pMyc/pMax Peptide-Coupled Gold Nanosystems for Targeting Myc in Prostate Cancer Cell Lines Myc and Max are essential proteins in the development of prostate cancer. They act by dimerizing and binding to E-box sequences. Disrupting the Myc:Max heterodimer interaction or its binding to E-box sequences to interrupt gene transcription represent promising strategies for treating cancer. We designed novel pMyc and pMax peptides from reference sequences, and we evaluated their ability to bind specifically to E-box sequences using an electrophoretic mobility shift assay (EMSA). Then, we assembled nanosystems (NSs) by coupling pMyc and pMax peptides to AuNPs, and determined peptide conjugation using UV-Vis spectroscopy. After that, we characterized the NS to obtain the nanoparticle’s size, hydrodynamic diameter, and zeta potential. Finally, we evaluated hemocompatibility and cytotoxic effects in three different prostate adenocarcinoma cell lines (LNCaP, PC-3, and DU145) and a non-cancerous cell line (Vero CCL-81). EMSA results suggests peptide–nucleic acid interactions between the pMyc:pMax dimer and the E-box. The hemolysis test showed little hemolytic activity for the NS at the concentrations (5, 0.5, and 0.05 ng/µL) we evaluated. Cell viability assays showed NS cytotoxicity. Overall, results suggest that the NS with pMyc and pMax peptides might be suitable for further research regarding Myc-driven prostate adenocarcinomas. biology,chemistry,gene,biochemistry,in vitro,molecular biology,genetics,cancer,prostate cancer,oncology,cancer research,immunology,cell,cytotoxicity,du145,lncap,peptide,electrophoretic mobility shift assay,viability assay,hemolysis,peptide nucleic acid,transcription factor,spectroscopy",Design and Characterization of pMyc/pMax Peptide-Coupled Gold Nanosystems for Targeting Myc in Prostate Cancer Cell Lines,2,,,0,False,False,False,False,False,False
40,PAPER,6807,6881,7513|7302|7049|7045|7514|7515|7312|7516|6785|6807|6881,541|542|543|544,1611273600,"Implantable Fiber Biosensors Based on Carbon Nanotubes ConspectusImplantable biosensors represent a rapidly developing direction with a wide range of applications in biotechnology and life science. For example, the detection of neurotransmitters in the brain has attracted a lot of attention because of their essential effects for neural activity. The in vivo acute detection of chemicals has been developed for decades, but there are few reports about in vivo chronic monitoring of chemicals probably due to two reasons. First, it is difficult to form stable interfaces between biosensors and tissues. Specifically, most of implantable biosensors are based on stiff electrode materials such as carbon fibers, whose moduli are several orders of magnitude higher than these of soft biological tissues. The mechanical mismatch between them will cause severe inflammatory response during chronic applications. Although some flexible neural probes with mesh geometry consisting of polymer and metal and polymer composite fibers have been employed in chronic electrophysiological recording, they are rarely employed for chronic monitoring of chemicals. Second, electrode deteriorations associated with degradation and fouling of functional materials make chemical recognitions difficult in dynamic environment. Generally, biosensors usually need to be modified with several functional materials including a recognition layer in order to identify specific chemicals from various untargeted chemicals. Although nanomaterials with high surface areas are reported to enhance the loading and immobilization of recognition layers so as to improve the sensitivity of biosensors, nanostructured and soft microelectrodes with high specific surface areas are rarely employed for long-term monitoring of chemicals in vivo.In this Account, we highlight our efforts toward flexible and miniaturized implantable fiber biosensors based on carbon nanotube (CNT) fibers for stable interfaces in vivo. We first summarize the assembly structure of CNT fiber electrodes and their mechanical, electrical, electrochemical, and biocompatible properties. Then we present a family of fiber biosensors by modifying CNT fibers with different recognition materials to detect multiple chemicals in vivo. After that, all-in-one fiber organic electrochemical transistors are described with higher sensitivity and lower detection limit, aiming to detect chemicals with low concentrations and trace changes in the deep brain. Finally, considering that soft implantable biosensors are difficult to be implanted without assistance, we introduce a neural probe with alterable moduli for direct implantation into the mouse brain and forming a stable interface with brain tissues. All three kinds of fiber biosensors are soft with mechanical properties matching biological tissues, remaining stable under deformation and showing high biocompatibility for long-term in vivo applications. Finally, a brief summary of challenges and outlooks in this field is presented. chemistry,medicine,physical chemistry,materials science,nanotechnology,carbon nanotube,electrode,biosensor,nanomaterials,microelectrode,biomedical engineering",Implantable Fiber Biosensors Based on Carbon Nanotubes,0,,,34,False,False,False,False,False,False
41,DISCUSSION,,,,2,1710807326,"Welcome to your new lab notebook! Do research with your lab-mates and collaborators in real-timeGet started by:Clicking the (+) button in the sidebar to create a new noteBrowsing the sidebar to see all of your lab's notesSelecting a templateIf you have any ideas or issues to share send a message to hello@ResearchHub.com. We love all of the feedback we can get our hands on :)How it worksResearchHub's ELN can help you and your labmates (1) draft notes and (2) gain visibility into all of the projects happening in your lab. This text editor is designed to help you collaboratively edit research lab notes with your teammates. Think of it like Google docs for science. Here's an overview of the most useful features:`Highlight` text to see a toolbar that helps you organize your thoughts and format your data:Feel free to add blocks of code or embed any images and videos that could help get your points across!Viewing the notes in your labThe left-hand sidebar is populated with all of the notes currently being used within your organization. Simply browse the titles and click on the notes you would like to check out!To switch between your organizations, click on the pulldown menu at the top of the left sidebar:",Welcome to your new lab notebook!,0,,,,False,False,False,False,False,False
43,DISCUSSION,,,,4,1710853524,this is a test stest,this is a test,1,,,,False,False,False,False,False,False
45,DISCUSSION,,,,4,1710878396,"Welcome to your new lab notebook! Do research with your lab-mates and collaborators in real-timeGet started by:Clicking the (+) button in the sidebar to create a new noteBrowsing the sidebar to see all of your lab's notesSelecting a templateIf you have any ideas or issues to share send a message to hello@ResearchHub.com. We love all of the feedback we can get our hands on :)How it worksResearchHub's ELN can help you and your labmates (1) draft notes and (2) gain visibility into all of the projects happening in your lab. This text editor is designed to help you collaboratively edit research lab notes with your teammates. Think of it like Google docs for science. Here's an overview of the most useful features:`Highlight` text to see a toolbar that helps you organize your thoughts and format your data:Feel free to add blocks of code or embed any images and videos that could help get your points across!Viewing the notes in your labThe left-hand sidebar is populated with all of the notes currently being used within your organization. Simply browse the titles and click on the notes you would like to check out!To switch between your organizations, click on the pulldown menu at the top of the left sidebar:",Welcome to your new lab notebook!,1,,,,False,False,False,False,False,False
46,PAPER,6809,,7517|7181|7518|7519|7520|6809|7521|7522|7523|7184|7185|12888,545|546|547|548|36065,1675209600,"Framework for the architecture of exoplanetary systems In the first paper of this series, we proposed a model-independent framework for characterising the architecture of planetary systems at the system level. There are four classes of planetary system architecture: similar, mixed, anti-ordered, and ordered. In this paper, we investigate the formation pathways leading to these four architecture classes. To understand the role of nature versus nurture in sculpting the final (mass) architecture of a system, we apply our architecture framework to synthetic planetary systems – formed via core-accretion – using the Bern model. General patterns emerge in the formation pathways of the four architecture classes. Almost all planetary systems emerging from protoplanetary disks whose initial solid mass was less than one Jupiter mass are similar. Systems emerging from heavier disks may become mixed, anti-ordered, or ordered. Increasing dynamical interactions (planet–planet, planet–disk) tends to shift a system’s architecture from mixed to anti-ordered to ordered. Our model predicts the existence of a new metallicity–architecture correlation. Similar systems have very high occurrence around low-metallicity stars. The occurrence of the anti-ordered and ordered classes increases with increasing metallicity. The occurrence of mixed architecture first increases and then decreases with increasing metallicity. In our synthetic planetary systems, the role of nature is disentangled from the role of nurture. Nature (or initial conditions) pre-determines whether the architecture of a system becomes similar; otherwise nurture influences whether a system becomes mixed, anti-ordered, or ordered. We propose the ‘Aryabhata formation scenario’ to explain some planetary systems which host only water-rich worlds. We finish this paper with a discussion of future observational and theoretical works that may support or refute the results of this paper. physics,architecture,art,visual arts,metallicity,planetary system,planet,astrophysics,astrobiology,accretion (finance),stars,astronomy and astrophysics",Framework for the architecture of exoplanetary systems,0,,,12,False,False,False,False,False,False
68,PAPER,6807,6810,7502|7441|7503|7504|6781|7431|7444|7468|7505|7437|7495|7446|7497|6836|6793|6807|6932|6810|7445,505|506|507|508|509|510|511|512,1591920000,"The D614G mutation in the SARS-CoV-2 spike protein reduces S1 shedding and increases infectivity SARS coronavirus 2 (SARS-CoV-2) isolates encoding a D614G mutation in the viral spike (S) protein predominate over time in locales where it is found, implying that this change enhances viral transmission. We therefore compared the functional properties of the S proteins with aspartic acid (S biology,gene,medicine,pathology,genetics,disease,mutation,coronavirus,virology,virus,infectious disease (medical specialty),coronavirus disease 2019 (covid-19),severe acute respiratory syndrome coronavirus 2 (sars-cov-2),viral entry,viral replication,infectivity,spike protein,convalescent plasma,neutralization",The D614G mutation in the SARS-CoV-2 spike protein reduces S1 shedding and increases infectivity,1,,,522,False,False,False,False,False,False
167,PAPER,6782,6794,7039|7038|7040|7042|7041|6834|6865|6783|6781|6782|6840|7004|6793|6794,73|74|75,1392768000,"Moderated estimation of fold change and dispersion for RNA-seq data with DESeq2 In comparative high-throughput sequencing assays, a fundamental task is the analysis of count data, such as read counts per gene in RNA-seq data, for evidence of systematic changes across experimental conditions. Small replicate numbers, discreteness, large dynamic range and the presence of outliers require a suitable statistical approach. We present DESeq2, a method for differential analysis of count data. DESeq2 uses shrinkage estimation for dispersions and fold changes to improve stability and interpretability of the estimates. This enables a more quantitative analysis focused on the strength rather than the mere presence of differential expression and facilitates downstream tasks such as gene ranking and visualization. DESeq2 is available as an R/Bioconductor package. biology,mathematics,statistics,gene,biochemistry,computer science,artificial intelligence,data mining,poisson distribution,bioconductor,interpretability,count data,replicate,outlier",Moderated estimation of fold change and dispersion for RNA-seq data with DESeq2,1,,,278,False,False,False,False,False,False
1184,PAPER,6898,7023,7911|7722|7441|7567|7468|7446|7571|7500|7444|6781|7493|7022|7617|6807|7118|6932|6987|7445|7023|6901|6898,13515|7170|13516|13517|13518|13519|13520|11177|11166|13521|13522|13523|13524|13525|13526|13527|13528,1607385600,"Natural SARS-CoV-2 infections, including virus isolation, among serially tested cats and dogs in households with confirmed human COVID-19 cases in Texas, USA The natural infections and epidemiological roles of household pets in SARS-CoV-2 transmission are not understood. We conducted a longitudinal study of dogs and cats living with at least one SARS-CoV-2 infected human in Texas and found 47.1% of 17 cats and 15.3% of 59 dogs from 25.6% of 39 households were positive for SARS-CoV-2 via RT-PCR and genome sequencing or neutralizing antibodies. Virus was isolated from one cat. The majority (82.4%) of infected pets were asymptomatic. Re-sampling of one infected cat showed persistence of viral RNA at least 32 d-post human diagnosis (25 d-post initial test). Across 15 antibody-positive animals, titers increased (33.3%), decreased (33.3%) or were stable (33.3%) over time. A One Health approach is informative for prevention and control of SARS-CoV-2 transmission. biology,medicine,engineering,electrical engineering,disease,internal medicine,isolation (microbiology),microbiology,immunology,virology,virus,infectious disease (medical specialty),coronavirus disease 2019 (covid-19),severe acute respiratory syndrome coronavirus 2 (sars-cov-2),pandemic,antibody,transmission (telecommunications),titer,veterinary medicine,asymptomatic,cats","Natural SARS-CoV-2 infections, including virus isolation, among serially tested cats and dogs in households with confirmed human COVID-19 cases in Texas, USA",0,,,52,False,True,False,False,False,False
1933,PAPER,6898,6788,10403|6834|7671|9187|10434|6840|6847|8333|10435|7020|6781|6785|7948|6898|6912|6788,19599|19600|19601|19602|19603|19604|19605|19606|19607|19608,1706832000,"A multipleArc(mArc) tagging system to uncover the organizational principles of multiple memories Engrams or memory traces are the neuronal ensembles that collectively store individual experiences. Genetic strategies based on immediate early genes (IEGs), such as Arc/Arg3.1 , allow us to tag the ensembles active during memory encoding and compare them to those active during retrieval. However, these strategies only allow for the tagging of one neural ensemble. Here, we developed a multiple Arc (mArc) system that allows for the tagging of two Arc+ ensembles. We validated this system by investigating how context, time, and valence influence neuronal ensemble reactivation in the dentate gyrus (DG). We show that similar contextual and valenced experiences are encoded in overlapping DG ensembles. We also find that ensembles are modulated by time, where experiences closer in time are encoded in more similar ensembles. These results highlight the dynamic nature of DG ensembles and show that the mArc system provides a powerful approach for investigating multiple memories in the brain.The mArc system allows for the tagging of two Arc+ ensembles in the same mouse DG ensembles labeled by the mArc system receive increased excitatory inputContext, valence, and time influence DG ensemble reactivationDG neural ensembles are reactivated less with increasing time. biology,chemistry,organic chemistry,computer science,artificial intelligence,artificial neural network,engineering,mechanical engineering,neuroscience,neural system,hippocampus,encoding (memory),dentate gyrus,arc (geometry),neural ensemble,valence (chemistry)",A multipleArc(mArc) tagging system to uncover the organizational principles of multiple memories,0,,,1,False,False,False,False,False,False
